Disease,Temperature (°C),Humidity (%),Rainfall (mm),Cloud Cover (%),Wind Speed (km/h),Leaf Wetness (hrs),Risk La,Risk Label
Potato Leaf Roll Virus,19.57,79.92,0.61,38.27,1.36,5.25,Low Risk,
Potato Leaf Roll Virus,23.24,66.04,1.45,34.31,2.68,5.48,Low Risk,
Potato Leaf Roll Virus,22.31,71.75,0.43,32.5,3.39,9.9,Low Risk,
Potato Leaf Roll Virus,25.68,65.75,0.1,26.27,2.1,5.37,Low Risk,
Potato Leaf Roll Virus,23.25,80.8,0.12,37.59,2.85,8.08,Low Risk,
Late Blight,23.93,91.07,3.78,62.85,2.63,11.76,Medium Risk,
Late Blight,23.92,80.68,2.29,70.92,2.15,11.53,Medium Risk,
Late Blight,22.59,82.28,1.01,60.74,3.61,9.52,Medium Risk,
Late Blight,27.83,88.12,3.14,59.26,3.76,11.34,Medium Risk,
Late Blight,26.72,89.87,1.13,66.44,2.78,10.33,Medium Risk,
Late Blight,25.92,90.49,2.67,53.94,3.27,9.51,Medium Risk,
Late Blight,28.25,87.8,4.15,40.12,3.77,11.45,Medium Risk,
Late Blight,29.4,86.66,2.67,68.18,3.89,12.24,Medium Risk,
Late Blight,22.59,88.38,2.69,40.7,4.79,9.16,Medium Risk,
Late Blight,22.99,84.46,1.16,61.91,5.53,11.5,Medium Risk,
Late Blight,28.09,84.44,1.39,50.14,5.01,11.6,Medium Risk,
Late Blight,27.88,81.33,2.12,60.22,2.06,10.28,Medium Risk,
Late Blight,23.66,88.88,2.24,68.33,2.34,10.73,Medium Risk,
Late Blight,25.67,89.8,1.54,56.25,2.9,10.71,Medium Risk,
Late Blight,23.17,89.11,3.42,72.49,4.24,10.2,Medium Risk,
Late Blight,28.31,83.6,2.03,65.9,5.1,9.62,Medium Risk,
Late Blight,24.43,80.52,2.67,61.59,2.33,11.57,Medium Risk,
Late Blight,25.51,84.47,1.19,56.37,3.33,9.71,Medium Risk,
Late Blight,25.96,91.52,2.69,42.08,4.32,11.41,Medium Risk,
Late Blight,23.13,80.76,4.85,62.82,4.58,11.72,Medium Risk,
Late Blight,23.42,91.92,3.43,74.16,5.77,10.24,Medium Risk,
Late Blight,27.66,90.27,1.19,53.18,4.74,11.68,Medium Risk,
Late Blight,25.93,80.01,3.04,45.5,3.93,10.39,Medium Risk,
Late Blight,23.75,80.25,4.18,68.51,2.14,9.21,Medium Risk,
Late Blight,24.86,91.64,1.35,41.3,4.41,11.9,Medium Risk,
Late Blight,27.79,91.81,3.93,60.99,5.59,10.82,Medium Risk,
Late Blight,28.65,83.0,4.46,48.74,3.79,9.16,Medium Risk,
Late Blight,26.54,82.98,4.2,53.3,4.54,12.3,Medium Risk,
Late Blight,25.66,89.2,1.87,46.53,2.84,10.95,Medium Risk,
Late Blight,25.08,86.36,1.04,66.0,3.3,10.01,Medium Risk,
Late Blight,25.25,87.82,1.04,52.94,4.74,12.26,Medium Risk,
Late Blight,23.24,87.29,1.01,63.48,4.8,9.66,Medium Risk,
Late Blight,22.47,85.73,1.94,70.65,4.07,10.99,Medium Risk,
Late Blight,22.23,85.66,4.05,45.71,4.04,11.3,Medium Risk,
Late Blight,26.72,80.89,4.76,43.43,3.2,10.12,Medium Risk,
Late Blight,25.23,91.85,3.19,57.64,3.78,10.15,Medium Risk,
Late Blight,26.03,88.77,3.05,60.3,4.22,10.52,Medium Risk,
Late Blight,24.43,89.41,1.45,62.18,4.43,10.96,Medium Risk,
Late Blight,25.07,80.64,2.41,72.98,5.02,12.35,Medium Risk,
Late Blight,26.45,86.11,1.27,43.4,2.18,9.55,Medium Risk,
Late Blight,25.53,82.95,1.88,55.46,4.68,9.74,Medium Risk,
Late Blight,22.1,85.42,2.92,58.17,3.91,10.82,Medium Risk,
Late Blight,22.12,84.76,3.0,59.43,2.48,10.34,Medium Risk,
Late Blight,26.88,84.4,4.76,70.55,2.35,12.53,Medium Risk,
Late Blight,24.0,87.45,1.26,42.68,5.28,10.78,Medium Risk,
Late Blight,25.26,90.62,4.65,67.24,5.41,12.37,Medium Risk,
Late Blight,29.28,90.14,3.75,68.66,5.06,11.6,Medium Risk,
Late Blight,27.75,81.09,3.0,47.14,4.01,10.64,Medium Risk,
Late Blight,26.19,83.24,4.35,55.44,5.76,11.01,Medium Risk,
Late Blight,27.8,83.15,4.46,52.29,5.86,12.21,Medium Risk,
Late Blight,28.31,88.7,2.21,67.81,4.76,9.34,Medium Risk,
Late Blight,28.32,85.63,3.84,63.7,5.81,12.12,Medium Risk,
Late Blight,29.03,89.89,4.86,45.89,5.78,11.75,Medium Risk,
Late Blight,29.09,84.77,4.33,52.59,3.57,9.83,Medium Risk,
Late Blight,25.08,85.17,2.8,61.71,3.99,9.28,Medium Risk,
Late Blight,22.4,90.16,1.8,45.99,3.05,12.86,Medium Risk,
Late Blight,27.42,89.38,1.88,62.12,3.7,10.69,Medium Risk,
Late Blight,29.42,91.97,2.19,62.5,4.95,11.61,Medium Risk,
Late Blight,27.24,85.1,3.73,59.34,5.49,11.92,Medium Risk,
Late Blight,28.17,91.36,1.0,49.14,3.71,12.24,Medium Risk,
Late Blight,25.39,85.08,3.16,74.56,5.74,11.8,Medium Risk,
Late Blight,24.05,91.16,3.74,72.42,3.48,10.91,Medium Risk,
Late Blight,28.1,81.6,2.78,65.94,4.71,9.86,Medium Risk,
Late Blight,25.02,84.1,1.67,71.53,4.01,10.17,Medium Risk,
Late Blight,24.57,89.94,3.67,46.44,2.54,11.83,Medium Risk,
Late Blight,26.76,87.08,3.62,46.58,5.45,10.58,Medium Risk,
Late Blight,29.39,80.55,1.3,48.37,3.18,11.25,Medium Risk,
Late Blight,24.65,81.82,1.49,42.72,2.18,12.35,Medium Risk,
Late Blight,29.17,81.35,1.25,44.47,4.5,9.52,Medium Risk,
Late Blight,23.17,91.81,3.81,44.6,4.86,10.61,Medium Risk,
Late Blight,27.36,83.11,1.29,61.03,4.48,12.81,Medium Risk,
Late Blight,27.74,87.14,2.68,72.29,4.5,10.61,Medium Risk,
Late Blight,25.69,89.84,4.62,68.36,5.84,11.72,Medium Risk,
Late Blight,24.89,80.17,3.38,47.78,3.74,10.83,Medium Risk,
Late Blight,26.79,85.71,4.57,46.54,2.34,9.31,Medium Risk,
Late Blight,26.17,87.71,4.45,44.77,2.76,9.37,Medium Risk,
Late Blight,22.92,86.1,1.01,50.5,3.15,10.33,Medium Risk,
Late Blight,22.5,90.07,2.63,48.17,5.76,12.25,Medium Risk,
Late Blight,28.14,89.74,1.8,73.43,4.74,9.49,Medium Risk,
Late Blight,28.31,90.95,2.49,71.59,4.45,11.61,Medium Risk,
Late Blight,23.72,90.5,1.27,61.11,3.61,11.87,Medium Risk,
Late Blight,23.68,85.39,1.27,64.76,4.65,11.97,Medium Risk,
Late Blight,22.37,91.72,1.21,52.5,2.44,11.79,Medium Risk,
Late Blight,24.34,82.32,2.85,53.13,4.8,12.98,Medium Risk,
Late Blight,27.47,90.48,1.76,72.61,2.09,9.28,Medium Risk,
Late Blight,23.39,82.11,2.37,44.02,4.61,10.82,Medium Risk,
Late Blight,27.32,83.73,1.65,53.72,3.29,9.74,Medium Risk,
Late Blight,23.43,88.44,3.37,45.77,3.11,10.57,Medium Risk,
Late Blight,27.4,81.08,4.78,72.34,4.66,10.49,Medium Risk,
Late Blight,24.6,81.62,2.38,72.05,3.34,12.44,Medium Risk,
Late Blight,22.64,90.49,3.59,49.62,2.08,11.46,Medium Risk,
Late Blight,25.47,87.33,1.91,72.03,4.06,12.66,Medium Risk,
Late Blight,26.06,81.73,1.31,53.97,2.43,11.64,Medium Risk,
Late Blight,22.86,91.26,3.07,61.25,4.38,12.79,Medium Risk,
Late Blight,22.36,87.29,4.85,57.45,3.94,10.44,Medium Risk,
Late Blight,28.87,83.63,4.3,42.96,4.3,12.1,Medium Risk,
Late Blight,26.99,85.27,3.83,53.01,2.88,9.62,Medium Risk,
Late Blight,26.04,84.45,2.46,64.05,2.53,10.18,Medium Risk,
Late Blight,25.19,85.25,2.81,59.62,5.32,10.97,Medium Risk,
Late Blight,26.93,80.03,1.88,54.25,3.31,12.55,Medium Risk,
Early Blight,26.66,80.52,3.61,43.35,5.33,12.6,Medium Risk,
Early Blight,25.02,83.03,3.92,44.04,2.46,9.09,Medium Risk,
Early Blight,23.87,82.17,3.82,69.6,3.81,11.31,Medium Risk,
Early Blight,29.41,82.52,2.85,70.73,2.12,11.14,Medium Risk,
Early Blight,27.62,86.74,4.76,69.19,3.81,12.83,Medium Risk,
Early Blight,27.29,83.3,3.78,55.19,4.58,12.56,Medium Risk,
Early Blight,27.99,85.65,4.29,60.74,4.05,10.39,Medium Risk,
Early Blight,27.22,85.13,3.21,56.06,2.58,9.22,Medium Risk,
Early Blight,26.02,82.45,4.11,55.22,5.74,12.58,Medium Risk,
Early Blight,27.73,87.39,2.65,67.14,4.4,9.22,Medium Risk,
Early Blight,27.0,81.51,3.23,60.44,3.34,9.32,Medium Risk,
Early Blight,29.68,81.23,1.74,43.62,4.01,10.34,Medium Risk,
Early Blight,29.24,82.7,3.99,57.75,4.29,11.08,Medium Risk,
Early Blight,29.89,86.05,1.54,74.9,2.72,10.83,Medium Risk,
Early Blight,27.67,90.34,2.31,41.67,2.58,10.35,Medium Risk,
Early Blight,23.5,89.91,1.32,44.06,2.79,12.26,Medium Risk,
Early Blight,23.43,87.67,2.34,41.84,2.9,12.71,Medium Risk,
Early Blight,26.03,87.42,4.68,48.41,2.62,12.36,Medium Risk,
Early Blight,22.45,83.22,1.68,64.62,3.24,12.39,Medium Risk,
Early Blight,22.82,83.97,1.55,59.01,2.4,11.4,Medium Risk,
Early Blight,29.23,87.4,4.46,43.02,3.85,9.36,Medium Risk,
Early Blight,26.96,87.34,4.67,70.59,5.42,10.69,Medium Risk,
Early Blight,22.8,86.28,2.7,45.54,4.87,9.25,Medium Risk,
Early Blight,25.69,89.48,2.46,65.39,4.35,9.83,Medium Risk,
Early Blight,22.22,80.31,4.02,57.84,4.89,11.73,Medium Risk,
Early Blight,22.48,85.32,3.16,51.17,3.91,9.75,Medium Risk,
Early Blight,26.49,83.76,3.11,42.61,4.55,10.55,Medium Risk,
Early Blight,24.8,87.0,1.34,63.93,2.8,9.83,Medium Risk,
Early Blight,26.62,88.84,3.95,55.59,5.91,11.27,Medium Risk,
Early Blight,27.23,89.27,4.69,66.1,4.48,9.56,Medium Risk,
Early Blight,28.86,91.14,2.78,72.65,4.58,9.43,Medium Risk,
Early Blight,25.21,88.88,1.48,46.0,5.49,11.08,Medium Risk,
Early Blight,24.97,85.92,1.27,65.6,4.49,10.08,Medium Risk,
Early Blight,23.26,89.96,2.94,50.22,3.37,12.18,Medium Risk,
Early Blight,25.93,82.32,2.74,69.17,2.02,9.21,Medium Risk,
Early Blight,28.99,87.8,2.77,53.66,5.36,12.7,Medium Risk,
Early Blight,22.23,82.15,4.55,46.52,5.56,12.35,Medium Risk,
Early Blight,25.45,91.3,1.14,64.13,2.35,11.78,Medium Risk,
Early Blight,24.17,87.14,3.57,60.87,3.8,11.93,Medium Risk,
Early Blight,24.34,85.96,4.65,41.66,5.03,10.18,Medium Risk,
Early Blight,27.94,91.83,4.16,43.67,4.1,12.92,Medium Risk,
Early Blight,27.83,81.19,3.2,46.61,3.13,12.43,Medium Risk,
Early Blight,29.63,84.32,4.14,72.04,2.77,12.27,Medium Risk,
Early Blight,29.45,81.29,2.25,41.64,5.62,10.47,Medium Risk,
Early Blight,22.48,90.23,2.88,72.07,2.57,9.79,Medium Risk,
Early Blight,23.94,85.81,1.2,49.56,5.33,9.21,Medium Risk,
Early Blight,26.35,82.24,1.32,70.39,2.01,9.42,Medium Risk,
Early Blight,25.65,91.52,2.42,40.27,2.72,10.37,Medium Risk,
Early Blight,23.47,82.2,2.28,44.88,5.81,11.48,Medium Risk,
Early Blight,28.06,83.35,3.96,54.71,2.07,10.52,Medium Risk,
Early Blight,29.35,86.22,4.72,44.2,3.71,12.97,Medium Risk,
Early Blight,29.57,85.6,1.44,71.84,5.4,12.95,Medium Risk,
Early Blight,27.83,88.45,3.54,43.49,4.57,12.63,Medium Risk,
Early Blight,28.15,88.81,4.03,59.37,4.76,9.64,Medium Risk,
Early Blight,24.81,80.84,2.89,41.19,5.43,9.18,Medium Risk,
Early Blight,26.06,82.54,2.67,47.81,2.24,11.93,Medium Risk,
Early Blight,23.37,84.58,2.46,69.92,3.79,12.98,Medium Risk,
Early Blight,24.85,80.74,1.09,61.03,5.56,9.09,Medium Risk,
Early Blight,27.45,90.32,4.92,64.57,3.78,9.53,Medium Risk,
Early Blight,29.61,87.34,1.21,50.71,2.4,10.12,Medium Risk,
Early Blight,24.54,88.63,3.48,47.7,5.95,9.02,Medium Risk,
Early Blight,24.63,83.56,3.32,53.91,4.02,11.1,Medium Risk,
Early Blight,22.41,85.95,2.67,60.51,3.41,11.68,Medium Risk,
Early Blight,29.09,80.01,4.09,69.92,5.67,11.73,Medium Risk,
Early Blight,27.32,91.93,1.18,59.91,2.83,10.78,Medium Risk,
Early Blight,26.08,84.42,3.27,44.29,2.27,11.1,Medium Risk,
Early Blight,28.58,88.94,1.62,43.0,5.65,11.74,Medium Risk,
Early Blight,26.82,88.36,3.68,52.77,4.34,11.31,Medium Risk,
Early Blight,26.71,88.38,2.5,60.38,3.34,9.66,Medium Risk,
Early Blight,23.47,87.69,4.15,44.63,4.92,12.71,Medium Risk,
Early Blight,28.29,88.81,1.79,46.36,5.57,12.35,Medium Risk,
Early Blight,27.33,85.49,3.04,49.55,5.32,11.53,Medium Risk,
Early Blight,24.93,86.01,4.3,56.98,5.39,9.96,Medium Risk,
Early Blight,25.39,85.24,4.24,66.59,3.68,9.58,Medium Risk,
Early Blight,23.13,86.65,4.04,42.38,5.5,11.63,Medium Risk,
Early Blight,23.6,82.56,3.07,48.02,2.32,10.38,Medium Risk,
Early Blight,22.58,87.79,1.1,60.12,4.75,11.8,Medium Risk,
Early Blight,26.97,91.53,2.81,51.89,2.52,9.72,Medium Risk,
Early Blight,28.89,85.79,2.61,63.04,4.11,11.31,Medium Risk,
Early Blight,29.33,82.07,1.58,64.23,3.17,11.1,Medium Risk,
Early Blight,24.36,90.75,1.59,73.68,5.08,10.39,Medium Risk,
Early Blight,25.26,84.8,1.55,65.65,5.14,12.81,Medium Risk,
Early Blight,24.04,88.25,1.14,51.11,2.64,9.56,Medium Risk,
Early Blight,25.6,80.39,1.22,41.11,4.71,12.57,Medium Risk,
Early Blight,22.19,80.99,1.27,66.52,4.26,9.69,Medium Risk,
Early Blight,26.44,87.31,2.5,60.26,5.93,12.08,Medium Risk,
Early Blight,26.18,85.34,2.45,67.67,5.16,11.97,Medium Risk,
Early Blight,24.36,82.85,4.67,70.54,5.03,11.38,Medium Risk,
Early Blight,25.31,84.28,3.26,57.39,3.37,9.53,Medium Risk,
Early Blight,29.31,82.53,4.74,45.68,5.04,10.92,Medium Risk,
Early Blight,29.69,81.32,2.41,59.06,3.22,12.78,Medium Risk,
Early Blight,28.28,88.28,3.82,50.29,3.63,9.03,Medium Risk,
Early Blight,24.16,90.76,1.53,72.69,3.27,12.06,Medium Risk,
Early Blight,28.67,86.42,3.75,73.63,5.48,10.99,Medium Risk,
Early Blight,26.12,87.4,4.36,45.68,5.28,12.72,Medium Risk,
Early Blight,24.58,86.05,1.05,72.17,2.68,12.72,Medium Risk,
Early Blight,28.59,80.48,1.65,53.72,4.85,11.31,Medium Risk,
Early Blight,23.77,85.84,4.47,73.89,3.53,11.92,Medium Risk,
Early Blight,26.75,83.65,2.62,63.12,4.32,9.12,Medium Risk,
Early Blight,22.87,88.22,4.64,73.1,2.96,9.4,Medium Risk,
Common Scab,28.81,91.71,1.62,72.34,2.31,11.77,Medium Risk,
Common Scab,28.66,87.3,2.29,57.01,4.12,12.99,Medium Risk,
Common Scab,28.45,82.89,2.66,46.71,4.79,9.53,Medium Risk,
Common Scab,22.46,86.34,1.38,47.14,2.61,9.18,Medium Risk,
Common Scab,28.36,82.45,4.85,55.84,3.84,11.7,Medium Risk,
Common Scab,23.67,87.8,3.36,54.48,4.59,10.54,Medium Risk,
Common Scab,25.07,91.61,2.19,59.36,2.24,10.99,Medium Risk,
Common Scab,22.1,83.73,3.7,45.37,5.59,12.6,Medium Risk,
Common Scab,29.61,83.44,4.11,54.59,4.28,9.04,Medium Risk,
Common Scab,25.61,83.03,1.07,56.1,5.9,12.04,Medium Risk,
Common Scab,24.04,81.33,1.62,68.68,2.52,12.01,Medium Risk,
Common Scab,27.21,84.81,2.95,44.96,5.26,11.98,Medium Risk,
Common Scab,27.56,87.77,1.39,65.47,5.57,9.52,Medium Risk,
Common Scab,27.95,87.73,3.36,74.85,2.31,12.72,Medium Risk,
Common Scab,23.24,81.1,4.61,58.53,4.12,10.99,Medium Risk,
Common Scab,24.97,85.48,2.71,53.73,5.4,10.88,Medium Risk,
Common Scab,25.9,90.87,1.74,41.62,4.68,11.51,Medium Risk,
Common Scab,26.74,83.89,2.74,46.46,5.29,12.46,Medium Risk,
Common Scab,25.39,89.47,2.88,57.54,2.92,9.96,Medium Risk,
Common Scab,24.78,81.32,2.26,67.68,5.43,12.85,Medium Risk,
Common Scab,29.92,89.64,3.01,46.02,4.89,11.66,Medium Risk,
Common Scab,26.19,80.82,2.3,43.63,5.56,9.34,Medium Risk,
Common Scab,27.59,87.35,4.75,46.06,5.81,12.19,Medium Risk,
Common Scab,26.25,80.41,4.42,45.38,2.96,9.03,Medium Risk,
Common Scab,25.44,88.85,2.83,42.18,2.48,11.43,Medium Risk,
Common Scab,22.19,85.2,4.5,66.23,5.28,10.46,Medium Risk,
Common Scab,28.4,86.7,2.48,42.33,5.58,10.36,Medium Risk,
Common Scab,25.65,83.67,3.17,64.17,5.19,9.89,Medium Risk,
Common Scab,27.25,87.12,2.65,46.74,4.55,11.56,Medium Risk,
Common Scab,23.73,83.12,3.9,71.88,5.21,11.99,Medium Risk,
Common Scab,29.01,81.35,2.12,40.17,5.03,9.06,Medium Risk,
Common Scab,28.79,88.96,4.75,55.76,5.83,12.28,Medium Risk,
Common Scab,25.93,85.62,2.16,54.85,3.64,9.34,Medium Risk,
Common Scab,26.49,84.77,1.64,56.84,3.16,11.39,Medium Risk,
Common Scab,27.51,81.62,2.71,63.34,4.3,9.92,Medium Risk,
Common Scab,22.87,88.75,2.81,57.09,3.05,10.68,Medium Risk,
Common Scab,29.58,90.59,2.48,65.15,3.12,12.14,Medium Risk,
Common Scab,27.01,88.91,1.74,66.0,4.49,10.92,Medium Risk,
Common Scab,23.76,80.62,3.29,71.18,4.73,12.93,Medium Risk,
Common Scab,27.23,86.12,3.86,64.98,5.73,10.76,Medium Risk,
Common Scab,29.41,85.02,3.55,47.71,3.24,11.29,Medium Risk,
Common Scab,25.43,80.88,4.49,47.64,3.07,10.07,Medium Risk,
Common Scab,24.94,88.5,5.0,64.67,2.84,10.06,Medium Risk,
Common Scab,28.62,88.05,1.85,42.76,4.39,11.0,Medium Risk,
Common Scab,22.38,85.99,2.36,69.25,3.14,12.68,Medium Risk,
Common Scab,24.95,91.56,3.29,63.76,2.79,12.3,Medium Risk,
Common Scab,23.04,91.48,3.8,73.6,2.89,11.37,Medium Risk,
Common Scab,22.31,83.18,2.19,44.52,3.14,12.83,Medium Risk,
Common Scab,26.28,84.4,3.69,54.1,5.31,9.42,Medium Risk,
Common Scab,28.83,85.76,1.21,50.61,3.19,11.84,Medium Risk,
Common Scab,22.46,85.2,2.63,70.64,3.71,10.59,Medium Risk,
Common Scab,25.21,84.72,4.24,70.51,2.72,11.78,Medium Risk,
Common Scab,28.95,86.53,1.08,52.38,3.92,11.54,Medium Risk,
Common Scab,28.62,85.27,2.55,74.09,5.7,10.8,Medium Risk,
Common Scab,25.32,84.06,3.94,51.97,4.43,10.45,Medium Risk,
Common Scab,25.34,87.15,1.91,73.14,4.69,9.89,Medium Risk,
Common Scab,30.0,89.9,2.89,64.35,5.59,10.49,Medium Risk,
Common Scab,28.8,84.37,2.63,71.26,5.65,11.77,Medium Risk,
Common Scab,23.72,91.61,1.46,43.26,5.02,9.56,Medium Risk,
Common Scab,26.56,82.58,2.26,42.85,2.8,11.82,Medium Risk,
Common Scab,22.52,89.41,1.05,52.54,4.48,11.35,Medium Risk,
Common Scab,27.27,90.07,3.66,51.62,2.28,10.51,Medium Risk,
Common Scab,22.5,90.95,4.55,63.53,3.95,10.31,Medium Risk,
Common Scab,23.2,89.13,3.55,66.72,5.09,10.83,Medium Risk,
Common Scab,24.59,80.64,4.87,42.69,2.13,11.07,Medium Risk,
Common Scab,23.7,89.51,3.09,64.09,3.05,12.56,Medium Risk,
Common Scab,28.0,85.69,4.98,44.54,2.89,11.91,Medium Risk,
Common Scab,27.37,84.08,3.54,45.07,4.47,11.35,Medium Risk,
Common Scab,25.31,85.5,2.06,54.55,4.2,11.94,Medium Risk,
Common Scab,25.69,91.32,3.89,60.33,5.76,12.97,Medium Risk,
Common Scab,23.11,88.87,4.72,66.31,5.66,12.98,Medium Risk,
Common Scab,29.53,89.39,2.47,43.39,4.61,11.5,Medium Risk,
Common Scab,23.13,88.19,2.87,69.43,4.24,9.28,Medium Risk,
Common Scab,29.34,84.79,2.11,68.32,3.78,10.44,Medium Risk,
Common Scab,28.3,83.3,4.83,52.77,4.69,10.15,Medium Risk,
Common Scab,26.06,88.23,3.4,60.4,3.88,10.01,Medium Risk,
Common Scab,22.2,89.82,2.98,45.32,5.11,10.33,Medium Risk,
Common Scab,28.62,90.15,4.04,66.11,5.93,10.43,Medium Risk,
Common Scab,24.58,91.98,1.01,52.63,2.61,11.26,Medium Risk,
Common Scab,29.61,90.21,4.96,47.38,5.85,12.85,Medium Risk,
Common Scab,23.13,81.73,3.76,45.76,3.19,11.75,Medium Risk,
Common Scab,28.46,80.38,2.45,63.38,2.25,12.89,Medium Risk,
Common Scab,23.69,91.29,3.6,55.25,2.7,10.73,Medium Risk,
Common Scab,29.74,84.35,4.26,71.76,5.47,11.03,Medium Risk,
Common Scab,24.92,89.64,2.49,60.87,2.45,12.73,Medium Risk,
Common Scab,26.82,80.31,1.64,64.04,3.92,12.65,Medium Risk,
Common Scab,22.9,89.43,4.21,46.99,4.27,10.32,Medium Risk,
Common Scab,26.68,91.65,1.72,72.02,4.36,11.48,Medium Risk,
Common Scab,24.44,87.9,1.12,51.58,4.31,12.37,Medium Risk,
Common Scab,26.11,84.55,1.4,60.09,3.46,9.6,Medium Risk,
Common Scab,23.91,81.05,1.36,40.96,4.35,9.21,Medium Risk,
Common Scab,27.24,80.24,1.45,47.12,2.5,12.27,Medium Risk,
Common Scab,26.94,86.64,2.97,43.11,2.47,9.41,Medium Risk,
Common Scab,25.06,86.04,4.53,48.12,5.28,12.51,Medium Risk,
Common Scab,26.51,84.32,1.11,42.81,2.36,9.99,Medium Risk,
Common Scab,27.86,86.92,3.85,47.46,4.58,10.74,Medium Risk,
Common Scab,29.8,86.91,1.87,73.86,5.51,10.13,Medium Risk,
Common Scab,25.95,91.64,4.7,41.18,4.54,12.3,Medium Risk,
Common Scab,29.64,83.94,1.44,47.92,3.76,12.82,Medium Risk,
Common Scab,29.38,90.04,3.41,45.15,2.62,10.2,Medium Risk,
Bacterial Wilt,22.4,89.2,4.17,46.4,5.13,11.73,Medium Risk,
Bacterial Wilt,24.57,86.66,2.26,73.86,2.33,9.66,Medium Risk,
Bacterial Wilt,24.41,82.37,4.89,72.62,3.13,11.34,Medium Risk,
Bacterial Wilt,27.19,80.92,2.75,59.91,4.88,12.66,Medium Risk,
Bacterial Wilt,29.63,91.82,1.81,65.92,2.05,12.26,Medium Risk,
Bacterial Wilt,28.78,87.29,3.75,64.73,3.21,12.37,Medium Risk,
Bacterial Wilt,22.8,81.48,2.9,51.0,3.31,11.87,Medium Risk,
Bacterial Wilt,26.22,81.26,2.47,49.25,5.8,11.5,Medium Risk,
Bacterial Wilt,29.44,83.12,4.67,47.99,5.06,9.92,Medium Risk,
Bacterial Wilt,22.25,83.84,3.43,67.1,3.61,10.15,Medium Risk,
Bacterial Wilt,27.41,90.99,1.78,56.04,3.56,9.62,Medium Risk,
Bacterial Wilt,24.92,81.01,4.9,66.12,4.7,12.22,Medium Risk,
Bacterial Wilt,27.38,89.15,2.29,50.62,5.52,11.38,Medium Risk,
Bacterial Wilt,27.92,85.65,1.71,74.39,3.0,12.64,Medium Risk,
Bacterial Wilt,29.77,86.93,4.98,43.33,4.6,9.02,Medium Risk,
Bacterial Wilt,24.99,81.34,2.27,48.0,2.6,10.05,Medium Risk,
Bacterial Wilt,28.09,80.52,4.94,65.55,2.62,11.09,Medium Risk,
Bacterial Wilt,23.4,89.81,1.44,61.28,3.01,11.09,Medium Risk,
Bacterial Wilt,24.56,91.05,3.22,52.43,2.79,11.95,Medium Risk,
Bacterial Wilt,25.24,91.16,2.01,52.72,4.37,10.63,Medium Risk,
Bacterial Wilt,29.62,89.46,3.84,43.35,2.42,10.99,Medium Risk,
Bacterial Wilt,26.9,86.12,2.57,41.48,2.77,11.76,Medium Risk,
Bacterial Wilt,25.34,85.39,4.78,56.67,3.23,11.23,Medium Risk,
Bacterial Wilt,22.49,87.42,3.17,41.92,4.51,12.97,Medium Risk,
Bacterial Wilt,27.57,89.66,2.29,42.7,3.12,9.27,Medium Risk,
Bacterial Wilt,27.63,83.14,3.75,49.84,4.12,12.67,Medium Risk,
Bacterial Wilt,27.5,84.01,3.22,42.87,5.84,9.06,Medium Risk,
Bacterial Wilt,27.33,89.54,3.87,43.88,5.92,9.27,Medium Risk,
Bacterial Wilt,26.51,87.9,3.33,53.02,2.14,11.86,Medium Risk,
Bacterial Wilt,27.81,82.26,1.19,62.55,5.87,10.66,Medium Risk,
Bacterial Wilt,23.0,85.98,2.47,40.7,4.32,10.55,Medium Risk,
Bacterial Wilt,29.87,80.88,4.35,73.22,4.69,11.4,Medium Risk,
Bacterial Wilt,23.02,81.44,3.34,61.42,2.78,9.21,Medium Risk,
Bacterial Wilt,24.17,82.57,2.87,50.07,4.47,12.54,Medium Risk,
Bacterial Wilt,29.13,86.39,4.43,58.89,5.06,10.37,Medium Risk,
Bacterial Wilt,22.41,85.94,3.36,58.26,4.36,9.8,Medium Risk,
Bacterial Wilt,22.5,80.93,1.27,62.13,3.45,11.82,Medium Risk,
Bacterial Wilt,22.1,81.49,1.21,61.87,4.19,10.07,Medium Risk,
Bacterial Wilt,28.13,87.18,1.08,71.02,3.5,12.62,Medium Risk,
Bacterial Wilt,25.25,85.16,2.78,48.63,2.86,11.17,Medium Risk,
Bacterial Wilt,28.97,91.37,3.58,63.03,4.04,12.58,Medium Risk,
Bacterial Wilt,27.64,86.53,3.32,50.32,4.68,12.26,Medium Risk,
Bacterial Wilt,23.32,80.32,3.61,55.18,2.27,9.39,Medium Risk,
Bacterial Wilt,29.93,82.63,1.6,49.74,4.29,9.0,Medium Risk,
Bacterial Wilt,27.72,83.44,1.85,46.95,4.33,9.79,Medium Risk,
Bacterial Wilt,29.33,91.53,1.6,47.18,2.51,12.74,Medium Risk,
Bacterial Wilt,29.93,91.12,1.4,61.25,5.93,9.9,Medium Risk,
Bacterial Wilt,23.17,83.1,4.53,47.51,3.19,9.17,Medium Risk,
Bacterial Wilt,23.04,84.0,2.33,47.14,2.13,10.21,Medium Risk,
Bacterial Wilt,27.52,80.7,1.49,68.06,3.14,9.25,Medium Risk,
Bacterial Wilt,28.97,90.9,1.18,66.35,2.98,11.99,Medium Risk,
Bacterial Wilt,29.4,86.11,1.79,70.97,5.51,9.43,Medium Risk,
Bacterial Wilt,28.94,84.17,3.8,70.16,2.43,11.86,Medium Risk,
Bacterial Wilt,28.9,88.62,3.51,59.6,3.07,9.37,Medium Risk,
